street_address,city,state,zipCode,latitude,longitude,beds,rent_price/month,listed_date,property_link
"Sonesta Extended Stay Birmingham - 3 Greenhill Pkwy, Birmingham, AL",Birmingham,AL,35242,33.423607,-86.69926,1/2/3,"$1,799+/$1,799+/$2,400+",,https://www.zillow.com/b/sonesta-extended-stay-birmingham-birmingham-al-9DYGBL/
"Sonesta Extended Stay Montgomery - 1200 Hilmar Ct, Montgomery, AL",Montgomery,AL,36117,32.36147,-86.20979,1/2,"$1,699+/$2,725+",,https://www.zillow.com/b/sonesta-extended-stay-montgomery-montgomery-al-9Df3Dq/
"The Grove at Stone Park - 160 Stone Park Blvd, Pike Road, AL",Pike Road,AL,36064,32.365322,-86.055824,1/2/3,"$1,079+/$1,299+/$1,299+",,https://www.zillow.com/b/the-grove-at-stone-park-pike-road-al-5XqVCC/
"Palladian at Promenade Townhomes - 2150 Hughes Rd, Madison, AL",Madison,AL,35757,34.759293,-86.743645,2/3,"$1,845+/$1,899+",Updated yesterday,https://www.zillow.com/b/palladian-at-promenade-townhomes-madison-al-BgyC7g/
"The Cottages on Weaver Ave. - 2013 Weaver Ave, Leeds, AL",Leeds,AL,35094,33.564182,-86.51619,3,"$1,795+",,https://www.zillow.com/b/the-cottages-on-weaver-avenue-leeds-al-C3m6SQ/
"The Dempsey - 375 Lime Quarry Rd, Madison, AL",Madison,AL,35758,34.677216,-86.74012,0/1/2,"$1,234+/$1,628+/$2,084+",,https://www.zillow.com/b/the-dempsey-madison-al-C48rnD/
"Crossings of Opelika - 1650 S Fox Run Pkwy, Opelika, AL",Opelika,AL,36801,32.637814,-85.36703,1/2/3,"$1,313+/$1,377+/$1,660+",,https://www.zillow.com/b/crossings-of-opelika-opelika-al-5XnBPN/
"RiverHouse - 417 River Bend Rd, Riverside, AL",Riverside,AL,35135,33.598682,-86.19412,1/2,"$950+/$1,050+",,https://www.zillow.com/b/riverhouse-riverside-al-95x4WH/
"Addison Park - 41 Addison Park Dr, Huntsville, AL",Huntsville,AL,35806,34.774605,-86.6776,2,"$1,279+",,https://www.zillow.com/b/addison-park-huntsville-al-9gp7WR/
"Laurel at Dry Creek - 393 Johns Rd, Huntsville, AL",Huntsville,AL,35806,34.766857,-86.67865,1/2/3,"$1,350+/$1,645+/$1,885+",,https://www.zillow.com/b/laurel-at-dry-creek-huntsville-al-C4PQLX/
"Twin Oaks Townhomes - 12002 Meadow Place Ln, Madison, AL",Madison,AL,35757,34.768707,-86.76773,2/3,"$1,850+/$1,850+",,https://www.zillow.com/b/twin-oaks-townhomes-madison-al-CG52ZZ/
"Timber Leaf - 5636 Timber Leaf Ln, Bessemer, AL",Bessemer,AL,35022,33.296463,-87.01048,4,"$2,225+",,https://www.zillow.com/b/timber-leaf-bessemer-al-CGKWqK/
"The Watts - 7235 Highway 431 S, Owens Cross Roads, AL",Owens Cross Roads,AL,35763,34.642708,-86.471664,1/2/3,"$1,289+/$1,680+/$2,293+",3D Tour,https://www.zillow.com/b/the-watts-huntsville-al-9QbQ7d/
"Apartment for rent - The Watts, 7235 Highway 431 S #5303, Owens Cross Roads, AL 35763",Owens Cross Roads,AL,35763,,,2,$1780.0,1 day ago,https://www.zillow.com/b/the-watts-huntsville-al-9QbQ7d/
"Cottages at Oak Grove Dairy - 7 Dairy Creek Rd, Huntsville, AL",Huntsville,AL,35803,34.60316,-86.56381,1/2,"$1,295+/$1,525+",,https://www.zillow.com/b/cottages-at-oak-grove-dairy-huntsville-al-C8YVPn/
"The Foundry at Stovehouse - 3700 Governors Dr NW, Huntsville, AL",Huntsville,AL,35805,34.721024,-86.616905,0/1/2/3,"$1,333+/$1,463+/$1,723+/$3,283+",,https://www.zillow.com/b/the-foundry-at-stovehouse-huntsville-al-CBNbHJ/
"Grandview Pointe at Millbrook - 101 Crossings Dr, Millbrook, AL",Millbrook,AL,36054,32.4976,-86.39343,1/2/3,"$917+/$1,108+/$1,246+",Updated today,https://www.zillow.com/b/grandview-pointe-at-millbrook-millbrook-al-5XjBjc/
"Kipling - 7959 Mandalay, Foley, AL",Foley,AL,36535,30.340628,-87.72502,3/4,"$2,000+/$2,200+",,https://www.zillow.com/b/kipling-foley-al-C8Cqvb/
"Apartment for rent - The Watts, 7235 Highway 431 S #5301, Owens Cross Roads, AL 35763",Owens Cross Roads,AL,35763,,,2,$1780.0,1 day ago,https://www.zillow.com/b/the-watts-huntsville-al-9QbQ7d/
"324 Cardinal Dr. SW - 324 Cardinal Dr SW, Decatur, AL",Decatur,AL,35601,34.57416,-86.98939,1/2,$799+/$899+,,https://www.zillow.com/b/324-cardinal-dr.-sw-decatur-al-5XqNHh/
"1010 Elliston - 1010 Elliston Pl NW, Madison, AL",Madison,AL,35757,34.764233,-86.73689,2,"$1,520+",3D Tour,https://www.zillow.com/b/1010-elliston-madison-al-C8YVK3/
"Apartment for rent - 1010 Elliston, 1010 Elliston Pl NW #523, Madison, AL 35757",Madison,AL,35757,,,2,$1545.0,4 hours ago,https://www.zillow.com/b/1010-elliston-madison-al-C8YVK3/
"Aventura Oak Mountain - 1 Stonecrest Dr, Birmingham, AL",Birmingham,AL,35242,33.407234,-86.660164,1/2/3,"$1,175+/$1,288+/$1,500+",,https://www.zillow.com/b/aventura-oak-mountain-birmingham-al-5Xj7Nf/
"The Reserve at North River Apartments - 1761 Commons North Loop, Tuscaloosa, AL",Tuscaloosa,AL,35406,33.25963,-87.51207,1/2/3,"$1,346+/$1,554+/$1,686+",,https://www.zillow.com/b/the-reserve-at-north-river-apartments-tuscaloosa-al-5XjSq3/
"The Palmer - 1415 3rd Ave S, Birmingham, AL",Birmingham,AL,35233,33.506115,-86.810165,0/1/2,"$1,732+/$1,833+/$2,358+",3D Tour,https://www.zillow.com/b/the-palmer-birmingham-al-ByryqB/
"The Village at Hickory Street - 904 Shagbark Rd, Foley, AL",Foley,AL,36535,30.383316,-87.69986,3/5,"$1,850+/$2,600+",,"https://www.zillow.com/b/The-Village-at-Hickory-Street-Foley-AL/30.383316,-87.69986_ll/"
"Madison Pines Apartment Homes - 340 Gillespie Rd, Madison, AL",Madison,AL,35758,34.72732,-86.75237,3,"$1,375+",3D Tour,https://www.zillow.com/b/madison-pines-apartment-homes-madison-al-5XkdBG/
"Riverchase Landing - 200 River Haven Ln, Birmingham, AL",Birmingham,AL,35244,33.37526,-86.79346,1/2/3,"$1,348+/$1,208+/$1,524+",,https://www.zillow.com/b/riverchase-landing-hoover-al-9h6gTH/
"Revere at River Landing - 30 E Revere Blvd SW, Madison, AL",Madison,AL,35756,34.617798,-86.751724,1/2/3,"$1,190+/$1,390+/$1,660+",,https://www.zillow.com/b/revere-at-river-landing-madison-al-BtYp96/
"Bluffs at Riverview - 2801 Riverview Rd, Birmingham, AL",Birmingham,AL,35242,33.428314,-86.71653,1/2/3,"$1,475+/$1,595+/$1,745+",3D Tour,https://www.zillow.com/b/bluffs-at-riverview-birmingham-al-5XjR6n/
"20 Midtown - 2014 3rd Ave S, Birmingham, AL",Birmingham,AL,35233,33.510387,-86.8021,0/1/2,"$1,135+/$1,550+/$2,000+",Updated today,https://www.zillow.com/b/20-midtown-birmingham-al-CHZPJQ/
"Apartment for rent - Essex Square, 3550 Watermelon Rd, Northport, AL 35473",Northport,AL,35473,33.238644,-87.55403,1,$875.0,115 days ago,https://www.zillow.com/b/essex-square-northport-al-5XjKVt/
"Central Park - 129 Royal Dr, Madison, AL",Madison,AL,35758,34.68403,-86.75915,3,"$1,885+",,https://www.zillow.com/b/central-park-madison-al-CC5Pkm/
"Peppertree - 8201 Vaughn Rd, Montgomery, AL",Montgomery,AL,36116,32.340137,-86.16993,1/2,"$1,085+/$1,140+",,https://www.zillow.com/b/peppertree-montgomery-al-5Xjq3r/
"Old Shell Lofts Phase 2 - 1750 Old Shell Rd, Mobile, AL",Mobile,AL,36604,30.689953,-88.08001,1/2,"$1,100+/$1,615+",,https://www.zillow.com/b/old-shell-lofts-phase-2-mobile-al-Bg58K3/
"Huntley Apartments - 100 Huntley Apartment Dr, Pelham, AL",Pelham,AL,35124,33.27197,-86.79521,1/2/3,"$1,246+/$1,568+/$1,464+",,https://www.zillow.com/b/huntley-apartments-pelham-al-9DWPRZ/
"The Glenn - 2568 E Glenn Ave, Auburn, AL",Auburn,AL,36830,32.612633,-85.4234,3,"$2,535+",,https://www.zillow.com/b/the-glenn-auburn-al-9Qd3MP/
"Colonial Grand at Edgewater - 1030 Grandeview Blvd, Huntsville, AL",Huntsville,AL,35824,34.773964,-86.70078,1/2/3,"$1,028+/$1,133+/$1,358+",,https://www.zillow.com/b/colonial-grand-at-edgewater-huntsville-al-5XjFFd/
