street_address,city,state,zipCode,latitude,longitude,beds,rent_price/month,listed_date,property_link
"Apartment for rent - Moose Creek, 3397 Bellwood St #A2, North Pole, AK 99705",North Pole,AK,99705,64.71448,-147.16443,2,$1450.0,70 days ago,https://www.zillow.com/b/moose-creek-north-pole-ak-5XpKPx/
"Eielson Air Force Base - 663 Kodiak St, Eielson Afb, AK",Eielson Afb,AK,99702,64.679085,-147.08319,2/3/4/5,"$1,602+/$1,602+/$1,602+/$1,602+",,https://www.zillow.com/b/eielson-air-force-base-eielson-afb-ak-BLLhV4/
"Park Plaza - 201 E 16th Ave, Anchorage, AK",Anchorage,AK,99501,61.206375,-149.88052,1,"$1,150+",,https://www.zillow.com/b/park-plaza-anchorage-ak-5XrgTX/
"The Outlook Apartments - 234 E 15th Ave, Anchorage, AK",Anchorage,AK,99501,61.207287,-149.87996,1/2,"$1,195+/$1,475+",,https://www.zillow.com/b/the-outlook-apartments-anchorage-ak-5XnMqs/
"Park Plaza II - 1553 A St, Anchorage, AK",Anchorage,AK,99501,61.206474,-149.88274,0/1,"$1,520+/$1,715+",,https://www.zillow.com/b/park-plaza-ii-anchorage-ak-5Xmndn/
"North Haven Communities Fort Wainwright - 3401 Santiago Ave, Fort Wainwright, AK",Fort Wainwright,AK,99703,64.84162,-147.60965,3/4/5,"$1,833+/$1,833+/$1,833+",,https://www.zillow.com/b/north-haven-communities-fort-wainwright-fort-wainwright-ak-BLGyWy/
"Admirals Cove - 6029 Debarr Rd, Anchorage, AK",Anchorage,AK,99504,61.21004,-149.7683,2,"$1,775+",,https://www.zillow.com/b/admirals-cove-anchorage-ak-5XqYZY/
"La Maisonnette - 1340 W 26th Ave, Anchorage, AK",Anchorage,AK,99503,61.197315,-149.90945,1/2,"$1,500+/$1,600+",3D Tour,https://www.zillow.com/b/la-maisonnette-anchorage-ak-5XrZcY/
"Susitna Ridge - 1601 Medfra St, Anchorage, AK",Anchorage,AK,99501,61.205498,-149.85776,1/2,"$1,135+/$1,340+",,https://www.zillow.com/b/susitna-ridge-anchorage-ak-5Xrngv/
"The Highlands Luxury Residences - 2134 E 56th Ave, Anchorage, AK",Anchorage,AK,99507,61.16882,-149.84312,1/2,"$1,775+/$2,175+",3D Tour,https://www.zillow.com/b/the-highlands-luxury-residences-anchorage-ak-5XrL75/
"Birchwood Homes - 1066 Turnagin Loop, Fairbanks, AK",Fairbanks,AK,99701,64.84068,-147.65744,3/4,"$2,135+/$2,280+",,https://www.zillow.com/b/birchwood-homes-fairbanks-ak-5XrXRR/
"Chugach South - 9600 Morningside Loop, Anchorage, AK",Anchorage,AK,99515,61.13372,-149.86298,2,"$1,505+",,https://www.zillow.com/b/chugach-south-anchorage-ak-5XnDJG/
"Kings Court - 303 E 15th Ave, Anchorage, AK",Anchorage,AK,99501,61.20799,-149.87846,1/2,"$1,150+/$1,200+",,https://www.zillow.com/b/kings-court-anchorage-ak-5fvfm9/
"Timber Ridge - 13900 Old Glenn Hwy, Eagle River, AK",Eagle River,AK,99577,61.346497,-149.55362,1/2,"$1,325+/$1,575+",,https://www.zillow.com/b/timber-ridge-eagle-river-ak-5XqyBN/
"Strawberry Lane - 2001 W 80th Ave, Anchorage, AK",Anchorage,AK,99502,61.149555,-149.91739,2,"$1,445+",,https://www.zillow.com/b/strawberry-lane-anchorage-ak-5YJVMb/
"Terrace on the Lake - 2421 Bentzen Cir, Anchorage, AK",Anchorage,AK,99517,61.173668,-149.93013,0/1/2,"$1,140+/$1,240+/$1,515+",,https://www.zillow.com/b/terrace-on-the-lake-anchorage-ak-5XrJdK/
"Apartment for rent - 3903 Iowa Dr APT 5, Anchorage, AK 99517",Anchorage,AK,99517,61.184563,-149.92857,3,$1600.0,9 hours ago,https://www.zillow.com/homedetails/3903-Iowa-Dr-APT-5-Anchorage-AK-99517/2078942451_zpid/
"House for rent - 3491 Harrier Cir, Anchorage, AK 99504",Anchorage,AK,99504,61.189205,-149.74995,2,$1750.0,1 hour ago,https://www.zillow.com/homedetails/3491-Harrier-Cir-Anchorage-AK-99504/19640_zpid/
"Apartment for rent - 3560 W Dimond Blvd #A9, Anchorage, AK 99502",Anchorage,AK,99502,61.136074,-149.94589,2,$1425.0,14 hours ago,https://www.zillow.com/homedetails/3560-W-Dimond-Blvd-A9-Anchorage-AK-99502/2059292420_zpid/
"Apartment for rent - 4318 Checkmate Dr APT 19, Anchorage, AK 99508",Anchorage,AK,99508,61.18148,-149.78635,3,$1300.0,14 hours ago,https://www.zillow.com/homedetails/4318-Checkmate-Dr-APT-19-Anchorage-AK-99508/2085889040_zpid/
"House for rent - 831 Minuteman Loop, North Pole, AK 99705",North Pole,AK,99705,64.74557,-147.3585,3,$2200.0,1 day ago,https://www.zillow.com/homedetails/831-Minuteman-Loop-North-Pole-AK-99705/74500467_zpid/
"Townhouse for rent - 3042 Vfw St UNIT B, North Pole, AK 99705",North Pole,AK,99705,64.73082,-147.31189,1,$1200.0,1 day ago,https://www.zillow.com/homedetails/3042-Vfw-St-UNIT-B-North-Pole-AK-99705/2059097620_zpid/
"Townhouse for rent - 8050 Pioneer Dr, Anchorage, AK 99504",Anchorage,AK,99504,61.18444,-149.73212,3,$1900.0,2 days ago,https://www.zillow.com/homedetails/8050-Pioneer-Dr-Anchorage-AK-99504/130174740_zpid/
"Apartment for rent - 2501 Outside Blvd #3105, North Pole, AK 99705",North Pole,AK,99705,64.75426,-147.33176,0,$950.0,3 hours ago,https://www.zillow.com/homedetails/2501-Outside-Blvd-3105-North-Pole-AK-99705/2059142971_zpid/
