street_address,city,state,zipCode,latitude,longitude,beds,rent_price/month,listed_date,property_link
"West M - 1330 W McNeese St, Lake Charles, LA",Lake Charles,LA,70605,30.177576,-93.23979,1/2/3,"$774+/$982+/$1,246+",,https://www.zillow.com/b/west-m-lake-charles-la-5XpKM8/
"The Reserve at Country Club - 2130 Country Club Rd, Lake Charles, LA",Lake Charles,LA,70605,30.169867,-93.253006,0/1/2,"$875+/$1,045+/$1,175+",,https://www.zillow.com/b/the-reserve-at-country-club-lake-charles-la-BCwLnD/
"Artesia Apartments - 8382 Westshore Dr, Covington, LA",Covington,LA,70433,30.446972,-90.12472,1/2,"$1,310+/$1,580+",3D Tour,https://www.zillow.com/b/artesia-apartments-covington-la-B8XczD/
"Heights at Hammond - 19216 Dr John Lambert Dr, Hammond, LA",Hammond,LA,70403,30.476751,-90.40856,1/2/3,"$1,060+/$1,385+/$1,565+",,https://www.zillow.com/b/heights-at-hammond-hammond-la-BMWN42/
"Country Club Cottages - 5121 Bayview Ln, Lake Charles, LA",Lake Charles,LA,70605,30.168486,-93.296776,2/3,"$1,350+/$1,500+",,https://www.zillow.com/b/country-club-cottages-lake-charles-la-C4ZmGV/
"Tiger Manor - 417 E State St, Baton Rouge, LA",Baton Rouge,LA,70802,30.419376,-91.17347,1/2/3,"$900+/$1,000+/$1,275+",,https://www.zillow.com/b/tiger-manor-baton-rouge-la-9Sb8J9/
"Pier Landing - 3131 Knight St, Shreveport, LA",Shreveport,LA,71105,32.483383,-93.70084,1/2,$710+/$820+,,https://www.zillow.com/b/pier-landing-shreveport-la-5Xt4cs/
"Villaggio - 5200 E Texas St, Bossier City, LA",Bossier City,LA,71111,32.534763,-93.66301,1/2,"$1,150+/$1,375+",,https://www.zillow.com/b/villaggio-bossier-city-la-5XtNkp/
"Canterbury House - 5467 W Park Ave, Houma, LA",Houma,LA,70364,29.646814,-90.7615,1/2,"$935+/$1,130+",,https://www.zillow.com/b/canterbury-house-houma-la-5XrdFX/
"Sherwood Place - 4500 Sherwood Common Blvd, Baton Rouge, LA",Baton Rouge,LA,70816,30.409784,-91.05762,1/2,"$880+/$1,070+",Updated yesterday,https://www.zillow.com/b/sherwood-place-baton-rouge-la-5Xhw4N/
"WoodSpring Suites Lafayette South - 200 Rue Des Amis, Lafayette, LA",Lafayette,LA,70507,30.281923,-92.0794,1/2,$870+/$970+,,https://www.zillow.com/b/woodspring-suites-lafayette-south-lafayette-la-CDHpnB/
"Brewster Commons at River Chase - 16309 E Brewster Rd, Covington, LA",Covington,LA,70433,30.441185,-90.13725,1/2/3,"$1,305+/$1,445+/$1,690+",3D Tour,https://www.zillow.com/b/brewster-commons-at-river-chase-covington-la-5Xhxm9/
"Sweetwater - 3476 Sweetwater Blvd, Addis, LA",Addis,LA,70710,30.376493,-91.254326,1/2/3,"$1,070+/$1,385+/$1,490+",,https://www.zillow.com/b/sweetwater-addis-la-BZmpDG/
"The Collins - 1612 Versailles Business Pkwy, Covington, LA",Covington,LA,70433,30.432894,-90.091805,1/2,"$1,242+/$1,607+",,https://www.zillow.com/b/the-collins-covington-la-BXnqTf/
"East School Apartments - 513 E School St, Lake Charles, LA",Lake Charles,LA,70605,30.191044,-93.21528,1/2,"$875+/$1,095+",,https://www.zillow.com/b/east-school-apartments-lake-charles-la-9pz598/
"RESIDENCE OF SPRINGRIDGE - 3257 Bert Kouns Industrial Loop, Shreveport, LA",Shreveport,LA,71118,32.399364,-93.83111,1/2/3,"$842+/$1,223+/$1,647+",,https://www.zillow.com/b/residence-of-springridge-shreveport-la-5XrTwq/
"Villa Du Lac Apartment Homes - 62200 Westend Blvd, Slidell, LA",Slidell,LA,70461,30.2103,-89.78605,1/2,"$1,080+/$1,320+",,https://www.zillow.com/b/villa-du-lac-apartment-homes-slidell-la-5Xhxnt/
"Encore At Power Center - 2770 Power Centre Pkwy, Lake Charles, LA",Lake Charles,LA,70607,30.187958,-93.17981,1/2/3,"$804+/$890+/$1,495+",3D Tour,https://www.zillow.com/b/encore-at-power-center-lake-charles-la-BZhvLg/
"Bella Ridge South - 6041 Mounes St, New Orleans, LA",New Orleans,LA,70123,29.953876,-90.199425,1/2,"$1,795+/$2,420+",3D Tour,https://www.zillow.com/b/bella-ridge-south-new-orleans-la-BcmyXb/
"Chaparral Apartment Homes - 215 N Gladys St, Leesville, LA",Leesville,LA,71446,31.145445,-93.270096,1/2,$635+/$838+,,https://www.zillow.com/b/chaparral-apartment-homes-leesville-la-5Xptct/
