street_address,city,state,zipCode,latitude,longitude,beds,rent_price/month,listed_date,property_link
"The Tides At Arverne By The Sea - 190 Beach 69th St, Arverne, NY",Arverne,NY,11692,40.588963,-73.79774,0/1,"$2,250+/$2,800+",3D Tour,https://www.zillow.com/b/the-tides-at-arverne-by-the-sea-arverne-ny-BLWH7Z/
"One Archer - 92-27 160th St, Jamaica, NY",Jamaica,NY,11433,40.703262,-73.798485,0/1/2,"$2,300+/$2,620+/$3,730+",,https://www.zillow.com/b/one-archer-jamaica-ny-C8CKZR/
"Jamaica Station Crossing - 147-40 Archer Ave, Jamaica, NY",Jamaica,NY,11435,40.70073,-73.806465,0/1,"$2,040+/$2,295+",,https://www.zillow.com/b/jamaica-station-crossing-jamaica-ny-BtRC8F/
"Alvista Rise - 147-25 94th Ave, Jamaica, NY",Jamaica,NY,11435,40.69933,-73.80668,0/1/2,"$2,400+/$2,850+/$3,093+",,https://www.zillow.com/b/alvista-rise-jamaica-ny-C64Xjv/
"AVA High Line - 525 W 28th St, New York, NY",New York,NY,10001,40.751564,-74.00337,0/1/2,"$3,940+/$4,325+/$6,635+",,https://www.zillow.com/b/ava-high-line-new-york-ny-4MH7/
"Atlas New York - 66 W 38th St, New York, NY",New York,NY,10018,40.751972,-73.9857,0/1,"$3,895+/$4,595+",,https://www.zillow.com/b/atlas-new-york-manhattan-ny-27nq/
"Avalon West Chelsea - 282 11th Ave, New York, NY",New York,NY,10001,40.752235,-74.00434,0/1/2,"$3,916+/$4,819+/$6,626+",,https://www.zillow.com/b/avalon-west-chelsea-new-york-ny-26W5/
"AVA DoBro - 100 Willoughby St, Brooklyn, NY",Brooklyn,NY,11201,40.691788,-73.9849,0/1/2,"$3,174+/$3,650+/$5,322+",Updated yesterday,https://www.zillow.com/b/ava-dobro-brooklyn-ny-39Ct/
"Staten Island Urby - 7 Navy Pier Ct, Staten Island, NY",Staten Island,NY,10304,40.6294,-74.07401,0/1/2,"$2,111+/$2,572+/$2,958+",,https://www.zillow.com/b/staten-island-urby-staten-island-ny-65gZtv/
"Parkside Manor - 14831 90th Ave, Jamaica, NY",Jamaica,NY,11435,40.70381,-73.806145,0/1/2,"$1,970+/$2,250+/$2,900+",,https://www.zillow.com/b/parkside-manor-jamaica-ny-97j2sW/
"The Eugene - 435 W 31st St, New York, NY",New York,NY,10001,40.75214,-73.99859,0/1/2/3,"$4,182+/$4,904+/$7,725+/$12,385+",3D Tour,https://www.zillow.com/b/the-eugene-new-york-ny-B73Y66/
"The Dylan - 309 5th Ave, New York, NY",New York,NY,10016,40.746784,-73.98546,0/1,"$4,480+/$5,172+",3D Tour,https://www.zillow.com/b/the-dylan-new-york-ny-3LSS/
"Avalon Willoughby Square - 214 Duffield St, Brooklyn, NY",Brooklyn,NY,11201,40.691925,-73.984474,0/1/2,"$3,005+/$3,921+/$6,935+",,https://www.zillow.com/b/avalon-willoughby-square-brooklyn-ny-637qbH/
"Two Blue Slip - 2 Blue Slip, Brooklyn, NY",Brooklyn,NY,11222,40.736507,-73.95958,0/1/2,"$3,183+/$4,075+/$6,505+",3D Tour,https://www.zillow.com/b/two-blue-slip-brooklyn-ny-BW4qmH/
"Oriana - 420 E 54th St, New York, NY",New York,NY,10022,40.755676,-73.96353,0/1/2/3,"$3,894+/$5,414+/$5,541+/$8,301+",3D Tour,https://www.zillow.com/b/oriana-new-york-ny-5XWNCh/
"345 E 94 Apartments - 345 E 94th St, New York, NY",New York,NY,10128,40.78227,-73.94585,1,"$4,190+",,https://www.zillow.com/b/345-e-94-apartments-new-york-ny-5Xj4MD/
"461 Dean - 461 Dean St, Brooklyn, NY",Brooklyn,NY,11217,40.68197,-73.975494,0/1,"$3,150+/$4,095+",3D Tour,https://www.zillow.com/b/461-dean-brooklyn-ny-97cKJr/
"The Olivia - 315 W 33rd St, New York, NY",New York,NY,10001,40.752045,-73.99461,0/1/2,"$3,840+/$4,195+/$7,350+",3D Tour,https://www.zillow.com/b/the-olivia-new-york-ny-5Xj4Kc/
"The Chelsea - 160 W 24th St, New York, NY",New York,NY,10011,40.744576,-73.99493,0/1/2,"$4,477+/$4,689+/$7,258+",3D Tour,https://www.zillow.com/b/the-chelsea-new-york-ny-5XT2qW/
"Avalon Midtown West - 250 W 50th St, New York, NY",New York,NY,10019,40.76183,-73.98581,0/1/2,"$3,531+/$4,253+/$6,001+",,https://www.zillow.com/b/avalon-midtown-west-new-york-ny-5XVMHG/
"The Biltmore - 271 W 47th St, New York, NY",New York,NY,10036,40.76039,-73.98716,0/1/2,"$4,136+/$4,433+/$8,204+",3D Tour,https://www.zillow.com/b/the-biltmore-new-york-ny-5XjKmN/
"Hollingsworth - 70 W 37th St, New York, NY",New York,NY,10018,40.75141,-73.986244,0/1/2,"$3,850+/$4,398+/$5,958+",,https://www.zillow.com/b/hollingsworth-manhattan-ny-9jThyv/
"THE BELLSLIP - 1 Bell Slip, Brooklyn, NY",Brooklyn,NY,11222,40.737183,-73.95842,0/1/2,"$3,105+/$4,469+/$6,783+",3D Tour,https://www.zillow.com/b/the-bellslip-brooklyn-ny-C5rsn3/
"The Aldyn - 60 Riverside Blvd, New York, NY",New York,NY,10069,40.774574,-73.99098,0/1/2/3,"$3,490+/$4,700+/$7,200+/$12,870+",3D Tour,https://www.zillow.com/b/the-aldyn-new-york-ny-2BHy/
