street_address,city,state,zipCode,latitude,longitude,beds,rent_price/month,listed_date,property_link
"Parkmerced - 3711 19th Ave, San Francisco, CA",San Francisco,CA,94132,37.720573,-122.475845,1/2,"$2,599+/$2,899+",,https://www.zillow.com/b/parkmerced-san-francisco-ca-5XjKHx/
"Apartment for rent - 923 Folsom, 923 Folsom St #505, San Francisco, CA 94107",San Francisco,CA,94107,37.779613,-122.40396,1,$2960.0,63 days ago,https://www.zillow.com/b/923-folsom-san-francisco-ca-5Yy6Np/
"1188 Mission at Trinity Place - 1188 Mission St, San Francisco, CA",San Francisco,CA,94103,37.77832,-122.41281,1,"$2,649+",,https://www.zillow.com/b/1188-mission-at-trinity-place-san-francisco-ca-5XjN4q/
"Hanover Soma West - 1140 Harrison St, San Francisco, CA",San Francisco,CA,94103,37.774982,-122.40784,1,"$2,931+",,https://www.zillow.com/b/hanover-soma-west-san-francisco-ca-9NJsx9/
"Apartment for rent - L Seven, 1222 Harrison St #7106, San Francisco, CA 94103",San Francisco,CA,94103,37.773693,-122.40966,1,$2915.0,5 days ago,https://www.zillow.com/b/l-seven-san-francisco-ca-9NJtD7/
"33 8th at Trinity Place - 33 8th St, San Francisco, CA",San Francisco,CA,94103,37.778404,-122.41432,1,"$2,549+",,https://www.zillow.com/b/33-8th-at-trinity-place-san-francisco-ca-9NJw4S/
"Apartment for rent - Prism, 1028 Market St PENTHOUSE 2, San Francisco, CA 94102",San Francisco,CA,94102,37.781723,-122.41131,1,$2968.0,49 days ago,https://www.zillow.com/b/prism-san-francisco-ca-9NJpRh/
"1190 Mission at Trinity Place - 1190 Mission St, San Francisco, CA",San Francisco,CA,94103,37.777924,-122.41301,1/2,"$2,499+/$2,849+",,https://www.zillow.com/b/1190-mission-at-trinity-place-san-francisco-ca-5XjVtb/
"1177 Market at Trinity Place - 1177 Market St, San Francisco, CA",San Francisco,CA,94103,37.77907,-122.41385,1/2,"$2,549+/$2,999+",,https://www.zillow.com/b/1177-market-at-trinity-place-san-francisco-ca-BNjvdD/
"645 Stockton - 645 Stockton St, San Francisco, CA",San Francisco,CA,94108,37.79181,-122.4078,1,"$2,995+",3D Tour,https://www.zillow.com/b/645-stockton-san-francisco-ca-5Xj3SD/
"Apartment for rent - Vara, 1600 15th St APT 207, San Francisco, CA 94103",San Francisco,CA,94103,37.766796,-122.42031,1,$2964.0,11 days ago,https://www.zillow.com/b/vara-san-francisco-ca-5XrPmJ/
"Apartment for rent - Avalon Sunset Towers, 8 Locksley Ave, San Francisco, CA 94131",San Francisco,CA,94131,37.76245,-122.48575,1,$2860.0,38 days ago,https://www.zillow.com/b/avalon-sunset-towers-san-francisco-ca-5XjLKv/
"The Madelon - 2823 18th St, San Francisco, CA",San Francisco,CA,94110,37.761726,-122.41059,1/2,"$2,996+/$2,996+",,https://www.zillow.com/b/the-madelon-san-francisco-ca-Bg7B9Q/
"AVA Nob Hill - 965 Sutter St, San Francisco, CA",San Francisco,CA,94109,37.787987,-122.41603,1,"$2,495+",,https://www.zillow.com/b/ava-nob-hill-san-francisco-ca-5XkHq6/
"50 Jones - 50 Jones St, San Francisco, CA",San Francisco,CA,94102,37.781586,-122.41146,1,"$2,567+",3D Tour,https://www.zillow.com/b/50-jones-san-francisco-ca-Bntcg2/
"Apartment for rent - 480 Potrero Ave, 480 Potrero Ave #108, San Francisco, CA 94110",San Francisco,CA,94110,37.763477,-122.40755,1,$2750.0,3D Tour,https://www.zillow.com/b/480-potrero-ave-san-francisco-ca-5mY4JQ/
"Trinity Towers Apartments - 888 Ofarrell St, San Francisco, CA",San Francisco,CA,94109,37.78556,-122.4194,1,"$2,399+",,https://www.zillow.com/b/trinity-towers-apartments-san-francisco-ca-5XjPdR/
"Apartment for rent - NorthPoint Apartments, 2211 Stockton St, San Francisco, CA 94133",San Francisco,CA,94133,37.806435,-122.41087,1,$2810.0,116 days ago,https://www.zillow.com/b/northpoint-apartments-san-francisco-ca-5XjLPJ/
"Apartment for rent - The Rise Hayes Valley, 1699 Market St #3, San Francisco, CA 94103",San Francisco,CA,94103,37.772236,-122.421875,1,$2855.0,10 days ago,https://www.zillow.com/b/the-rise-hayes-valley-san-francisco-ca-9NJtwq/
"1333 Gough Apartments at Cathedral Hall - 1333 Gough St, San Francisco, CA",San Francisco,CA,94109,37.785732,-122.425606,1,"$2,925+",,https://www.zillow.com/b/1333-gough-apartments-at-cathedral-hall-san-francisco-ca-5XjRmn/
"2133 Stockton Street Apartments - 2133 Stockton St, San Francisco, CA",San Francisco,CA,94133,37.805683,-122.410675,1,"$2,549+",,https://www.zillow.com/b/2133-stockton-street-apartments-san-francisco-ca-5Xhzkj/
"Apartment for rent - Edgewater, 355 Berry St APT 304, San Francisco, CA 94158",San Francisco,CA,94158,37.772366,-122.39705,1,$2898.0,6 days ago,https://www.zillow.com/b/edgewater-san-francisco-ca-5XjVQc/
"Apartment for rent - Crystal Tower Apartments, 2140 Taylor St APT 101, San Francisco, CA 94133",San Francisco,CA,94133,37.802208,-122.41416,1,$2949.0,76 days ago,https://www.zillow.com/b/crystal-tower-apartments-san-francisco-ca-5XjVtt/
"The Terraces - 1330 Bush St, San Francisco, CA",San Francisco,CA,94109,37.789112,-122.41909,1,"$2,552+",,https://www.zillow.com/b/the-terraces-san-francisco-ca-5XjVSb/
"Olume - 1401 Mission St, San Francisco, CA",San Francisco,CA,94103,37.775043,-122.415955,1,"$2,559+",3D Tour,https://www.zillow.com/b/olume-san-francisco-ca-5Yy6VF/
"Apartment for rent - Modera Rincon Hill, 390 1st St #304, San Francisco, CA 94105",San Francisco,CA,94105,37.78609,-122.39347,1,$2972.0,66 days ago,https://www.zillow.com/b/modera-rincon-hill-san-francisco-ca-9NJzvD/
"Apartment for rent - 845 Sutter, 845 Sutter St APT 409, San Francisco, CA 94109",San Francisco,CA,94109,37.788227,-122.414185,1,$2450.0,29 days ago,https://www.zillow.com/b/845-sutter-san-francisco-ca-5XkKMm/
"840 Van Ness - 840 Van Ness Ave, San Francisco, CA",San Francisco,CA,94109,37.78353,-122.42049,1,"$2,395+",,https://www.zillow.com/b/840-van-ness-san-francisco-ca-5YCwMj/
"Apartment for rent - 575 O'Farrell St, 575 Ofarrell St, San Francisco, CA 94102",San Francisco,CA,94102,37.78555,-122.41409,1,$2245.0,7 days ago,https://www.zillow.com/b/575-o%27farrell-st-san-francisco-ca-5j4D5y/
"Apartment for rent - 1000-1010 Bush Street, 1000-1010 Bush St #4, San Francisco, CA 94109",San Francisco,CA,94109,37.789185,-122.41649,1,$2095.0,42 days ago,https://www.zillow.com/b/1000-1010-bush-street-san-francisco-ca-BQjMjR/
"Apartment for rent - The Presidio Landmark, 1801 Wedemeyer St UNIT 217, San Francisco, CA 94129",San Francisco,CA,94129,37.78881,-122.47466,1,$2970.0,18 days ago,https://www.zillow.com/b/the-presidio-landmark-san-francisco-ca-5XkJwH/
"Waterbend - 5880 3rd St, San Francisco, CA",San Francisco,CA,94124,37.72495,-122.3947,1,"$2,832+",3D Tour,https://www.zillow.com/b/waterbend-san-francisco-ca-9NLgqG/
"990 Geary - 990 Geary St, San Francisco, CA",San Francisco,CA,94109,37.786186,-122.41949,1,"$2,695+",3D Tour,https://www.zillow.com/b/990-geary-san-francisco-ca-5XjSTc/
"947 Bush - 947 Bush St, San Francisco, CA",San Francisco,CA,94109,37.78937,-122.412704,1,"$2,595+",,https://www.zillow.com/b/947-bush-san-francisco-ca-5XjW9S/
"Apartment for rent - 333 Fremont, 333 Fremont St APT 607, San Francisco, CA 94105",San Francisco,CA,94105,37.78768,-122.39269,1,$2949.0,13 days ago,https://www.zillow.com/b/333-fremont-san-francisco-ca-5gjwKL/
"Apartment for rent - 950 Franklin, 950 Franklin St APT 25, San Francisco, CA 94109",San Francisco,CA,94109,37.78339,-122.42236,1,$2695.0,84 days ago,https://www.zillow.com/b/950-franklin-san-francisco-ca-5Xj398/
