street_address,city,state,zipCode,latitude,longitude,beds,sale_price,listed_date,property_link
7758 E Petersville Rd,Trapper Creek,AK,99683,62.302284,-150.25223,3.0,$495000.0,12 hours ago,https://www.zillow.com/homedetails/7758-E-Petersville-Rd-Trapper-Creek-AK-99683/2070258728_zpid/
Lots 1 6 Block #33,Chitina,AK,99566,,,0.0,$0.0,18 hours ago,https://www.zillow.com/homedetails/Lots-1-6-Block-33-Chitina-AK-99566/2061016433_zpid/
172 Behrends Ave,Juneau,AK,99801,58.306515,-134.42891,2.0,$0.0,18 hours ago,https://www.zillow.com/homedetails/172-Behrends-Ave-Juneau-AK-99801/230749007_zpid/
3670 Granite Ct,Delta Junction,AK,99737,64.07385,-145.64265,3.0,$57000.0,1 day on Zillow,https://www.zillow.com/homedetails/3670-Granite-Ct-Delta-Junction-AK-99737/2059103533_zpid/
6302 E Petersville Rd,Trapper Creek,AK,99683,62.315212,-150.32553,4.0,$399000.0,9 days on Zillow,https://www.zillow.com/homedetails/6302-E-Petersville-Rd-Trapper-Creek-AK-99683/2097395029_zpid/
3395 Balika Ln,Kodiak,AK,99615,57.81832,-152.36191,4.0,$565000.0,5 days on Zillow,https://www.zillow.com/homedetails/3395-Balika-Ln-Kodiak-AK-99615/239630930_zpid/
4151 Lakeridge Cir,Anchorage,AK,99502,61.142567,-149.95656,3.0,$395000.0,13 days on Zillow,https://www.zillow.com/homedetails/4151-Lakeridge-Cir-Anchorage-AK-99502/29264_zpid/
12218 Keystone Pl,Eagle River,AK,99577,61.33088,-149.5791,3.0,$0.0,18 hours ago,https://www.zillow.com/homedetails/12218-Keystone-Pl-Eagle-River-AK-99577/55708_zpid/
1 Erin Dr,North Pole,AK,99705,64.72695,-147.28923,,$24900.0,9 hours ago,https://www.zillow.com/homedetails/1-Erin-Dr-North-Pole-AK-99705/2059081703_zpid/
7904 E Downstream Dr,Palmer,AK,99645,61.586304,-149.24997,3.0,$495000.0,41 days on Zillow,https://www.zillow.com/homedetails/7904-E-Downstream-Dr-Palmer-AK-99645/219482431_zpid/
7922 Steese Hwy,Fairbanks,AK,99712,65.002716,-146.32608,2.0,$580000.0,17 hours ago,https://www.zillow.com/homedetails/7922-Steese-Hwy-Fairbanks-AK-99712/219791847_zpid/
1215 Hess Ave,Fairbanks,AK,99709,64.85499,-147.8073,8.0,$0.0,18 hours ago,https://www.zillow.com/homedetails/1215-Hess-Ave-Fairbanks-AK-99709/251178266_zpid/
3550 Sharatin Rd,Kodiak,AK,99615,57.811348,-152.34665,4.0,$440000.0,13 days on Zillow,https://www.zillow.com/homedetails/3550-Sharatin-Rd-Kodiak-AK-99615/104472652_zpid/
1600 W Riffle St,Wasilla,AK,99654,61.550884,-149.49097,4.0,$120000.0,14 days on Zillow,https://www.zillow.com/homedetails/1600-W-Riffle-St-Wasilla-AK-99654/90682779_zpid/
6630 Big Salt Lake Rd #11,Klawock,AK,99925,55.555626,-133.03876,3.0,$74000.0,18 days on Zillow,https://www.zillow.com/homedetails/6630-Big-Salt-Lake-Rd-11-Klawock-AK-99925/2059527652_zpid/
32817 Ashley Ave,Soldotna,AK,99669,60.49768,-150.73045,,$25000.0,181 days on Zillow,https://www.zillow.com/homedetails/32817-Ashley-Ave-Soldotna-AK-99669/223318512_zpid/
4531 Treasure St,Fairbanks,AK,99712,65.002716,-146.32608,1.0,$76900.0,$600 (Feb 8),https://www.zillow.com/homedetails/4531-Treasure-St-Fairbanks-AK-99712/2067087771_zpid/
165 S Birch St SPACE 3,Soldotna,AK,99669,60.485752,-151.06519,3.0,$44500.0,10 days on Zillow,https://www.zillow.com/homedetails/165-S-Birch-St-SPACE-3-Soldotna-AK-99669/74518107_zpid/
37655 Old Sterling Hwy,Anchor Point,AK,99556,59.74429,-151.79526,4.0,$545000.0,Video Walkthrough,https://www.zillow.com/homedetails/37655-Old-Sterling-Hwy-Anchor-Point-AK-99556/84405661_zpid/
2410 Singa St,North Pole,AK,99705,64.72207,-147.33786,3.0,$385000.0,3D Tour,https://www.zillow.com/homedetails/2410-Singa-St-North-Pole-AK-99705/2060424334_zpid/
301 Bentley Dr,Fairbanks,AK,99701,64.83857,-147.69547,4.0,$335000.0,"$14,900 (Jan 29)",https://www.zillow.com/homedetails/301-Bentley-Dr-Fairbanks-AK-99701/219790463_zpid/
0 Tolsona Lake Rd,Glennallen,AK,99588,62.10446,-146.04015,2.0,$229000.0,1 day on Zillow,https://www.zillow.com/homedetails/0-Tolsona-Lake-Rd-Glennallen-AK-99588/2059102911_zpid/
9710 W Stanley Dr,Wasilla,AK,99623,61.574493,-149.69582,3.0,$360000.0,36 days on Zillow,https://www.zillow.com/homedetails/9710-W-Stanley-Dr-Wasilla-AK-99623/219457268_zpid/
3254 Katmai Dr,Kodiak,AK,99615,57.80881,-152.3512,3.0,$523000.0,6 days on Zillow,https://www.zillow.com/homedetails/3254-Katmai-Dr-Kodiak-AK-99615/104472625_zpid/
15307 S Ulysses St,Talkeetna,AK,99676,62.48248,-149.67226,1.0,$295000.0,"$54,000 (Jan 12)",https://www.zillow.com/homedetails/15307-S-Ulysses-St-Talkeetna-AK-99676/2060592047_zpid/
15800 E Lichen Dr,Talkeetna,AK,99676,62.03865,-150.05531,,$70000.0,1 day on Zillow,https://www.zillow.com/homedetails/15800-E-Lichen-Dr-Talkeetna-AK-99676/2059102180_zpid/
3630 Clay Products Dr,Anchorage,AK,99517,61.197315,-149.9533,4.0,$549900.0,16 days on Zillow,https://www.zillow.com/homedetails/3630-Clay-Products-Dr-Anchorage-AK-99517/2263_zpid/
29 Evergreen Ave,Wrangell,AK,99929,56.407932,-131.86057,2.0,$110000.0,48 days on Zillow,https://www.zillow.com/homedetails/29-Evergreen-Ave-Wrangell-AK-99929/2061576659_zpid/
1432 E Tongass Narrows,Ketchikan,AK,99901,55.326004,-131.6264,1.0,$180000.0,42 days on Zillow,https://www.zillow.com/homedetails/1432-E-Tongass-Narrows-Ketchikan-AK-99901/2060178411_zpid/
8830 Richardson Hwy,Salcha,AK,99714,64.470436,-146.94623,3.0,$185000.0,11 days on Zillow,https://www.zillow.com/homedetails/8830-Richardson-Hwy-Salcha-AK-99714/2100995194_zpid/
3360 Hillary Ave,Fairbanks,AK,99709,64.81142,-147.98967,3.0,$475000.0,79 days on Zillow,https://www.zillow.com/homedetails/3360-Hillary-Ave-Fairbanks-AK-99709/219807772_zpid/
51990 S Bald Eagle Way,Willow,AK,99688,61.967247,-149.93839,,$53000.0,90 days on Zillow,https://www.zillow.com/homedetails/51990-S-Bald-Eagle-Way-Willow-AK-99688/2083868179_zpid/
9 Wadleigh Is #B,Klawock,AK,99925,55.56991,-133.11789,2.0,$450000.0,"$25,000 (Jan 30)",https://www.zillow.com/homedetails/9-Wadleigh-Is-B-Klawock-AK-99925/2061853844_zpid/
14060 W Hughes Homestead Rd,Wasilla,AK,99623,61.464096,-150.18988,3.0,$700000.0,Video Walkthrough,https://www.zillow.com/homedetails/14060-W-Hughes-Homestead-Rd-Wasilla-AK-99623/2062095452_zpid/
221 Austin St,Ketchikan,AK,99901,55.350693,-131.6713,6.0,$400000.0,"$35,000 (Feb 8)",https://www.zillow.com/homedetails/221-Austin-St-Ketchikan-AK-99901/2136055862_zpid/
2855 Sebastian Ct,North Pole,AK,99705,64.73028,-147.30713,0.0,$20000.0,50 days on Zillow,https://www.zillow.com/homedetails/2855-Sebastian-Ct-North-Pole-AK-99705/2085013928_zpid/
