street_address,city,state,zipCode,latitude,longitude,beds,sale_price,listed_date,property_link
11520 Old Moffat Rd,Wilmer,AL,36587,30.798124,-88.31546,4,$165000.0,15 hours ago,https://www.zillow.com/homedetails/11520-Old-Moffat-Rd-Wilmer-AL-36587/50973177_zpid/
23883 Kilkenny Ln,Daphne,AL,36526,30.572721,-87.850235,5,$585000.0,3D Tour,https://www.zillow.com/homedetails/23883-Kilkenny-Ln-Daphne-AL-36526/196072144_zpid/
3237 Buckboard Rd,Montgomery,AL,36116,32.334778,-86.22634,4,$176000.0,18 hours ago,https://www.zillow.com/homedetails/3237-Buckboard-Rd-Montgomery-AL-36116/72808026_zpid/
5180 Scenic Dr,Wilmer,AL,36587,30.799416,-88.32344,4,$189205.0,19 hours ago,https://www.zillow.com/homedetails/5180-Scenic-Dr-Wilmer-AL-36587/50973156_zpid/
8470 Debra Ln,Irvington,AL,36544,30.438868,-88.24178,3,$172000.0,16 hours ago,https://www.zillow.com/homedetails/8470-Debra-Ln-Irvington-AL-36544/51060862_zpid/
3921 Frasier St,Millbrook,AL,36054,32.479725,-86.358505,3,$164900.0,18 hours ago,https://www.zillow.com/homedetails/3921-Frasier-St-Millbrook-AL-36054/133580_zpid/
149 Mabelon Dr,Bessemer,AL,35023,33.44927,-86.97605,3,$169900.0,15 hours ago,https://www.zillow.com/homedetails/149-Mabelon-Dr-Bessemer-AL-35023/1034058_zpid/
518 S Georgetown Dr,Montgomery,AL,36109,32.391827,-86.24905,3,$129900.0,16 hours ago,https://www.zillow.com/homedetails/518-S-Georgetown-Dr-Montgomery-AL-36109/72794036_zpid/
901 N 16th St,Lanett,AL,36863,32.879673,-85.195244,4,$185000.0,1 day on Zillow,https://www.zillow.com/homedetails/901-N-16th-St-Lanett-AL-36863/124116923_zpid/
10 Willow Oak Ln,Fort Mitchell,AL,36856,32.26814,-84.98659,5,$322000.0,11 hours ago,https://www.zillow.com/homedetails/10-Willow-Oak-Ln-Fort-Mitchell-AL-36856/123397842_zpid/
107 Parker St,East Brewton,AL,36426,31.08206,-87.06138,3,$99000.0,1 day on Zillow,https://www.zillow.com/homedetails/107-Parker-St-East-Brewton-AL-36426/110287921_zpid/
164 Mark Twain Loop,Foley,AL,36535,30.429554,-87.69253,3,$329000.0,Open: Sat. 1-4pm,https://www.zillow.com/homedetails/164-Mark-Twain-Loop-Foley-AL-36535/84398106_zpid/
4732 Copeland Island Dr W,Mobile,AL,36695,30.592932,-88.35858,3,$209900.0,16 hours ago,https://www.zillow.com/homedetails/4732-Copeland-Island-Dr-W-Mobile-AL-36695/55786294_zpid/
1304 Barker Dr E,Mobile,AL,36608,30.715014,-88.19172,3,$139900.0,1 day on Zillow,https://www.zillow.com/homedetails/1304-Barker-Dr-E-Mobile-AL-36608/50986932_zpid/
7631 Penny Ln,Irvington,AL,36544,30.43103,-88.22145,3,$107000.0,17 hours ago,https://www.zillow.com/homedetails/7631-Penny-Ln-Irvington-AL-36544/51059756_zpid/
5800 Highway 51,Wilsonville,AL,35186,33.32271,-86.555984,3,$189000.0,16 hours ago,https://www.zillow.com/homedetails/5800-Highway-51-Wilsonville-AL-35186/317035524_zpid/
57 County Road 715,Enterprise,AL,36330,31.268913,-85.8799,3,$95000.0,20 hours ago,https://www.zillow.com/homedetails/57-County-Road-715-Enterprise-AL-36330/109315705_zpid/
404 5th St,Pleasant Grove,AL,35127,33.49671,-86.966324,3,$180000.0,1 day on Zillow,https://www.zillow.com/homedetails/404-5th-St-Pleasant-Grove-AL-35127/1019709_zpid/
2655 Lee Road 183,Opelika,AL,36804,32.634823,-85.254074,3,$210000.0,1 day on Zillow,https://www.zillow.com/homedetails/2655-Lee-Road-183-Opelika-AL-36804/76019589_zpid/
1307 Keith Rd,Pelham,AL,35124,33.30352,-86.816444,3,$225000.0,1 day on Zillow,https://www.zillow.com/homedetails/1307-Keith-Rd-Pelham-AL-35124/196339_zpid/
3533 Coachman Rd,Montgomery,AL,36116,32.324768,-86.22472,3,$124900.0,12 days on Zillow,https://www.zillow.com/homedetails/3533-Coachman-Rd-Montgomery-AL-36116/72808091_zpid/
365 Seloca Rd,Warrior,AL,35180,33.791,-86.81538,3,$150000.0,18 hours ago,https://www.zillow.com/homedetails/365-Seloca-Rd-Warrior-AL-35180/872655_zpid/
9979 Box Rd,Semmes,AL,36575,30.821869,-88.27869,3,$275000.0,18 hours ago,https://www.zillow.com/homedetails/9979-Box-Rd-Semmes-AL-36575/61491079_zpid/
281 County Road 108,Clopton,AL,36317,31.688585,-85.37173,3,$59900.0,17 hours ago,https://www.zillow.com/homedetails/281-County-Road-108-Clopton-AL-36317/96817427_zpid/
1409 Greenbrier Ln,Anniston,AL,36207,33.628494,-85.77414,3,$134900.0,18 hours ago,https://www.zillow.com/homedetails/1409-Greenbrier-Ln-Anniston-AL-36207/109397729_zpid/
108 Bruner Ave,Evergreen,AL,36401,31.430414,-86.95541,5,$105000.0,96 days on Zillow,https://www.zillow.com/homedetails/108-Bruner-Ave-Evergreen-AL-36401/316936046_zpid/
305 23rd Ave NE,Center Point,AL,35215,33.64536,-86.67766,3,$150000.0,19 hours ago,https://www.zillow.com/homedetails/305-23rd-Ave-NE-Center-Point-AL-35215/891659_zpid/
