street_address,city,state,zipCode,latitude,longitude,beds,sale_price,listed_date,property_link
10461 Texas Hwy,Many,LA,71449,31.492012,-93.629425,3.0,$349500.0,3D Tour,https://www.zillow.com/homedetails/10461-Texas-Hwy-Many-LA-71449/112225450_zpid/
6024 Manassas Dr,Baton Rouge,LA,70817,30.395586,-90.99866,3.0,$249900.0,5 days on Zillow,https://www.zillow.com/homedetails/6024-Manassas-Dr-Baton-Rouge-LA-70817/66357945_zpid/
4420 Murano Rd,New Orleans,LA,70129,30.068354,-89.81459,4.0,$299000.0,182 days on Zillow,https://www.zillow.com/homedetails/4420-Murano-Rd-New-Orleans-LA-70129/84467990_zpid/
19286 Palmer Rd,Livingston,LA,70754,30.353611,-90.77368,4.0,$240000.0,"$35,000 (Feb 17)",https://www.zillow.com/homedetails/19286-Palmer-Rd-Livingston-LA-70754/77689456_zpid/
23083 Kilgore St,Mandeville,LA,70471,30.440004,-90.02475,3.0,$249900.0,"$20,000 (Feb 14)",https://www.zillow.com/homedetails/23083-Kilgore-St-Mandeville-LA-70471/123626641_zpid/
1001 S Bengal Rd,Metairie,LA,70003,29.977333,-90.233536,3.0,$250000.0,6 days on Zillow,https://www.zillow.com/homedetails/1001-S-Bengal-Rd-Metairie-LA-70003/73748642_zpid/
9414 High Point Rd,Baton Rouge,LA,70810,30.370995,-91.11364,3.0,$219900.0,4 days on Zillow,https://www.zillow.com/homedetails/9414-High-Point-Rd-Baton-Rouge-LA-70810/66278012_zpid/
9041 Alder Dr,Baton Rouge,LA,70817,30.369026,-91.00659,3.0,$259900.0,4 days on Zillow,https://www.zillow.com/homedetails/9041-Alder-Dr-Baton-Rouge-LA-70817/66269170_zpid/
439 Woodfield Blvd,Houma,LA,70364,29.644817,-90.74888,3.0,$114500.0,4 days on Zillow,https://www.zillow.com/homedetails/439-Woodfield-Blvd-Houma-LA-70364/77773504_zpid/
620 Decatur St APT P,New Orleans,LA,70130,29.956257,-90.06274,1.0,$125000.0,5 days on Zillow,https://www.zillow.com/homedetails/620-Decatur-St-APT-P-New-Orleans-LA-70130/126451995_zpid/
4128 Fiesta St,New Orleans,LA,70131,29.92984,-90.013306,5.0,$179900.0,3 days on Zillow,https://www.zillow.com/homedetails/4128-Fiesta-St-New-Orleans-LA-70131/73828054_zpid/
4849 Magazine St #B,New Orleans,LA,70115,29.920462,-90.10731,2.0,$315000.0,"$10,000 (Feb 14)",https://www.zillow.com/homedetails/4849-Magazine-St-B-New-Orleans-LA-70115/110379954_zpid/
6989 Celia Ave,Baton Rouge,LA,70811,30.55504,-91.11954,4.0,$242000.0,"$13,000 (Dec 21)",https://www.zillow.com/homedetails/6989-Celia-Ave-Baton-Rouge-LA-70811/66323047_zpid/
554 East St,Denham Springs,LA,70726,30.475908,-90.94949,3.0,$189000.0,3 days on Zillow,https://www.zillow.com/homedetails/554-East-St-Denham-Springs-LA-70726/110918568_zpid/
919 Governor Nicholls St #3,New Orleans,LA,70116,29.96378,-90.06317,1.0,$269000.0,21 days on Zillow,https://www.zillow.com/homedetails/919-Governor-Nicholls-St-3-New-Orleans-LA-70116/73780542_zpid/
2806 Allen St,Sulphur,LA,70665,30.211723,-93.373024,3.0,$124900.0,14 days on Zillow,https://www.zillow.com/homedetails/2806-Allen-St-Sulphur-LA-70665/77592870_zpid/
4510 Fort Macomb Rd,New Orleans,LA,70129,30.068073,-89.80919,4.0,$379000.0,"$11,000 (Jan 5)",https://www.zillow.com/homedetails/4510-Fort-Macomb-Rd-New-Orleans-LA-70129/73818961_zpid/
38015 Willow Lake Dr,Prairieville,LA,70769,30.3158,-90.973526,3.0,$325000.0,3 days on Zillow,https://www.zillow.com/homedetails/38015-Willow-Lake-Dr-Prairieville-LA-70769/252197073_zpid/
