street_address,city,state,zipCode,latitude,longitude,beds,sale_price,listed_date,property_link
1433 Highway 662,Morgan City,LA,70380,29.711561,-91.079765,,$85000.0,17 hours ago,https://www.zillow.com/homedetails/1433-Highway-662-Morgan-City-LA-70380/2068767631_zpid/
1543 Oakwood Dr,Lake charles,LA,70611,30.336567,-93.19508,4.0,$289000.0,2 days on Zillow,https://www.zillow.com/homedetails/1543-Oakwood-Dr-Lake-Charles-LA-70611/77611575_zpid/
502 E Main St,New Roads,LA,70760,30.69386,-91.43037,3.0,$111111.0,71 days on Zillow,https://www.zillow.com/homedetails/502-E-Main-St-New-Roads-LA-70760/115172787_zpid/
15940 Woodlawn Acres Ave,Baton Rouge,LA,70817,30.384327,-91.00679,3.0,$210000.0,5 days on Zillow,https://www.zillow.com/homedetails/15940-Woodlawn-Acres-Ave-Baton-Rouge-LA-70817/2087052888_zpid/
5944 Highway 56,Chauvin,LA,70344,29.411045,-90.60686,4.0,$75000.0,5 days on Zillow,https://www.zillow.com/homedetails/5944-Highway-56-Chauvin-LA-70344/247821056_zpid/
25 Zion St,Kenner,LA,70065,30.046204,-90.278496,3.0,$400000.0,2 days on Zillow,https://www.zillow.com/homedetails/25-Zion-St-Kenner-LA-70065/73761467_zpid/
18022 Van Broussard Rd,Prairieville,LA,70769,30.328846,-90.957184,3.0,$180000.0,13 hours ago,https://www.zillow.com/homedetails/18022-Van-Broussard-Rd-Prairieville-LA-70769/72219915_zpid/
299 Plum Orchard Ln,Benton,LA,71006,32.63572,-93.742615,4.0,$449900.0,17 hours ago,https://www.zillow.com/homedetails/299-Plum-Orchard-Ln-Benton-LA-71006/208129559_zpid/
6970 Connaught Ct,New Orleans,LA,70128,30.042807,-89.96851,0.0,$0.0,18 hours ago,https://www.zillow.com/homedetails/6970-Connaught-Ct-New-Orleans-LA-70128/73811412_zpid/
2219 Thornton Ct,Alexandria,LA,71301,31.295635,-92.45807,4.0,$185000.0,6 days on Zillow,https://www.zillow.com/homedetails/2219-Thornton-Ct-Alexandria-LA-71301/77703209_zpid/
211 Frederick St,Bastrop,LA,71220,32.797638,-91.916435,0.0,$0.0,18 hours ago,https://www.zillow.com/homedetails/211-Frederick-St-Bastrop-LA-71220/115149659_zpid/
701 Drew Ln,Minden,LA,71055,32.622982,-93.27158,3.0,$252000.0,14 hours ago,https://www.zillow.com/homedetails/701-Drew-Ln-Minden-LA-71055/106202080_zpid/
212 Yvonne St APT D,Broussard,LA,70518,30.122894,-91.92907,2.0,$145000.0,13 hours ago,https://www.zillow.com/homedetails/212-Yvonne-St-APT-D-Broussard-LA-70518/110907794_zpid/
5167 Mount Rushmore Dr,Marrero,LA,70072,29.853971,-90.11405,4.0,$150000.0,5 days on Zillow,https://www.zillow.com/homedetails/5167-Mount-Rushmore-Dr-Marrero-LA-70072/103916610_zpid/
35866 Dock Butler Rd,Mount Hermon,LA,70450,30.94936,-90.29441,3.0,$259000.0,13 hours ago,https://www.zillow.com/homedetails/35866-Dock-Butler-Rd-Mount-Hermon-LA-70450/337799946_zpid/
3005 Catherine St,Morgan City,LA,70380,29.694475,-91.17886,3.0,$130000.0,3 days on Zillow,https://www.zillow.com/homedetails/3005-Catherine-St-Morgan-City-LA-70380/115215332_zpid/
4617 Sara Day St,Napoleonville,LA,70390,29.937078,-91.01577,4.0,$458000.0,15 hours ago,https://www.zillow.com/homedetails/4617-Sara-Day-St-Napoleonville-LA-70390/105992026_zpid/
105 Dominus Dr,Broussard,LA,70518,30.15612,-91.98321,3.0,$499000.0,4 days on Zillow,https://www.zillow.com/homedetails/105-Dominus-Dr-Broussard-LA-70518/126833748_zpid/
119 Hartwood Ct,Duson,LA,70529,30.24134,-92.18378,4.0,$260500.0,Open: M: 10:00 AM-6:00 ...,https://www.zillow.com/homedetails/119-Hartwood-Ct-Duson-LA-70529/2059090234_zpid/
1130 Cooper Rd,Dequincy,LA,70633,30.410244,-93.40759,3.0,$648000.0,10 days on Zillow,https://www.zillow.com/homedetails/1130-Cooper-Rd-Dequincy-LA-70633/247897680_zpid/
12318 Highland Dr,Geismar,LA,70734,30.24921,-90.993774,4.0,$270000.0,2 days on Zillow,https://www.zillow.com/homedetails/12318-Highland-Dr-Geismar-LA-70734/72221819_zpid/
1005 Dean Chapel Rd,West Monroe,LA,71291,32.52755,-92.17957,4.0,$269900.0,8 days on Zillow,https://www.zillow.com/homedetails/1005-Dean-Chapel-Rd-West-Monroe-LA-71291/92477850_zpid/
123 Hartwood Ct,Duson,LA,70529,30.24134,-92.18378,3.0,$230500.0,Open: M: 10:00 AM-6:00 ...,https://www.zillow.com/homedetails/123-Hartwood-Ct-Duson-LA-70529/2059090235_zpid/
335 Washington St,Lake Charles,LA,70605,30.169651,-93.21899,3.0,$0.0,18 hours ago,https://www.zillow.com/homedetails/335-Washington-St-Lake-Charles-LA-70605/81666703_zpid/
901 Fair Oaks Ln,Lake Charles,LA,70605,30.192669,-93.23383,3.0,$269000.0,1 day on Zillow,https://www.zillow.com/homedetails/901-Fair-Oaks-Ln-Lake-Charles-LA-70605/77593920_zpid/
8320 Rainbow Dr,Baton Rouge,LA,70809,30.415413,-91.100395,3.0,$299999.0,15 hours ago,https://www.zillow.com/homedetails/8320-Rainbow-Dr-Baton-Rouge-LA-70809/66346359_zpid/
8745 Section Rd,Port Allen,LA,70767,30.489532,-91.32534,5.0,$88992.0,4 days on Zillow,https://www.zillow.com/homedetails/8745-Section-Rd-Port-Allen-LA-70767/232950006_zpid/
1062 Koonce Rd,Sulphur,LA,70663,30.300776,-93.3882,3.0,$220000.0,57 days on Zillow,https://www.zillow.com/homedetails/1062-Koonce-Rd-Sulphur-LA-70663/81582322_zpid/
