street_address,city,state,zipCode,latitude,longitude,beds,sale_price,listed_date,property_link
1160 Mission St UNIT 911,San Francisco,CA,94103,37.778683,-122.41246,1,$336107.0,3D Tour,https://www.zillow.com/homedetails/1160-Mission-St-UNIT-911-San-Francisco-CA-94103/83153129_zpid/
1201 Sutter St #203,San Francisco,CA,94109,37.787464,-122.420296,1,$499000.0,5 days on Zillow,https://www.zillow.com/homedetails/1201-Sutter-St-203-San-Francisco-CA-94109/2059130909_zpid/
3258 Market St APT 3,San Francisco,CA,94114,37.758743,-122.44512,1,$425000.0,3D Tour,https://www.zillow.com/homedetails/3258-Market-St-APT-3-San-Francisco-CA-94114/241586164_zpid/
246 Athens St,San Francisco,CA,94112,37.724125,-122.426895,1,$739500.0,5 days on Zillow,https://www.zillow.com/homedetails/246-Athens-St-San-Francisco-CA-94112/15169151_zpid/
1332 Guerrero St,San Francisco,CA,94110,37.749752,-122.42302,2,$699000.0,Video Walkthrough,https://www.zillow.com/homedetails/1332-Guerrero-St-San-Francisco-CA-94110/2078936436_zpid/
588 Minna St #505,San Francisco,CA,94103,37.779068,-122.41033,1,$450000.0,Open: Wed. 11:30am-1pm,https://www.zillow.com/homedetails/588-Minna-St-505-San-Francisco-CA-94103/337887929_zpid/
175 Bluxome St UNIT 208,San Francisco,CA,94107,37.774647,-122.399445,2,$799000.0,3D Tour,https://www.zillow.com/homedetails/175-Bluxome-St-UNIT-208-San-Francisco-CA-94107/80752751_zpid/
1153 Alabama St,San Francisco,CA,94110,,,2,$819000.0,Open: Sun. 2-4pm,https://www.zillow.com/homedetails/1153-Alabama-St-San-Francisco-CA-94110/2059133746_zpid/
609-611 Naples St,San Francisco,CA,94112,37.718983,-122.43243,2,$759000.0,25 days on Zillow,https://www.zillow.com/homedetails/609-611-Naples-St-San-Francisco-CA-94112/331633850_zpid/
1300 22nd St APT 304,San Francisco,CA,94107,37.75796,-122.39457,1,$395945.0,Open: Wed. 5-7pm,https://www.zillow.com/homedetails/1300-22nd-St-APT-304-San-Francisco-CA-94107/249664760_zpid/
4800 3rd St UNIT 401,San Francisco,CA,94124,37.734745,-122.39108,1,$194105.0,71 days on Zillow,https://www.zillow.com/homedetails/4800-3rd-St-UNIT-401-San-Francisco-CA-94124/114316380_zpid/
1006 Noe St #1,San Francisco,CA,94114,37.75281,-122.43232,1,$699000.0,4 days on Zillow,https://www.zillow.com/homedetails/1006-Noe-St-1-San-Francisco-CA-94114/82785853_zpid/
3216 26th St,San Francisco,CA,94110,37.749447,-122.41419,3,$649000.0,33 days on Zillow,https://www.zillow.com/homedetails/3216-26th-St-San-Francisco-CA-94110/2064101708_zpid/
1600 Webster St APT 205,San Francisco,CA,94115,37.78568,-122.43095,1,$388498.0,3D Tour,https://www.zillow.com/homedetails/1600-Webster-St-APT-205-San-Francisco-CA-94115/64971368_zpid/
1587 15th St APT 403,San Francisco,CA,94103,37.766487,-122.41949,2,$509950.0,7 hours ago,https://www.zillow.com/homedetails/1587-15th-St-APT-403-San-Francisco-CA-94103/89237988_zpid/
609 King St #TOWNHOUSE,San Francisco,CA,94107,37.77038,-122.40106,2,$461008.0,21 days on Zillow,https://www.zillow.com/homedetails/609-King-St-TOWNHOUSE-San-Francisco-CA-94107/2059752339_zpid/
1400 Mission St #1400,San Francisco,CA,94103,37.775284,-122.41649,2,$559000.0,23 days on Zillow,https://www.zillow.com/homedetails/1400-Mission-St-1400-San-Francisco-CA-94103/303806045_zpid/
1320 Vallejo St,San Francisco,CA,94109,37.79747,-122.41917,2,$730000.0,1 day on Zillow,https://www.zillow.com/homedetails/1320-Vallejo-St-San-Francisco-CA-94109/2089299874_zpid/
425 1st St UNIT 3304,San Francisco,CA,94105,37.7861,-122.39221,1,$825000.0,3D Tour,https://www.zillow.com/homedetails/425-1st-St-UNIT-3304-San-Francisco-CA-94105/83154386_zpid/
631 Ofarrell St APT 908,San Francisco,CA,94109,37.78524,-122.41512,1,$500000.0,5 days on Zillow,https://www.zillow.com/homedetails/631-Ofarrell-St-APT-908-San-Francisco-CA-94109/15069484_zpid/
451 Donahue St UNIT 506,San Francisco,CA,94124,37.729,-122.36964,2,$660000.0,18 days on Zillow,https://www.zillow.com/homedetails/451-Donahue-St-UNIT-506-San-Francisco-CA-94124/184818040_zpid/
1301 Fulton St APT 206,San Francisco,CA,94117,37.7767,-122.4384,1,$649000.0,4 days on Zillow,https://www.zillow.com/homedetails/1301-Fulton-St-APT-206-San-Francisco-CA-94117/15085638_zpid/
67 Prentiss St,San Francisco,CA,94110,37.741802,-122.41175,2,$850000.0,3D Tour,https://www.zillow.com/homedetails/67-Prentiss-St-San-Francisco-CA-94110/15161539_zpid/
586 Paris St,San Francisco,CA,94112,37.719604,-122.436844,3,$750000.0,16 hours ago,https://www.zillow.com/homedetails/586-Paris-St-San-Francisco-CA-94112/2059086899_zpid/
875 La Playa St APT 272,San Francisco,CA,94121,37.771698,-122.51031,1,$700000.0,Open: Sun. 2-4pm,https://www.zillow.com/homedetails/875-La-Playa-St-APT-272-San-Francisco-CA-94121/15100599_zpid/
1400 Mission St #1505,San Francisco,CA,94103,37.775284,-122.41649,2,$559000.0,23 days on Zillow,https://www.zillow.com/homedetails/1400-Mission-St-1505-San-Francisco-CA-94103/303742050_zpid/
8100 Oceanview Ter APT 309,San Francisco,CA,94132,37.71042,-122.467705,1,$450000.0,"$85,000 (Feb 2)",https://www.zillow.com/homedetails/8100-Oceanview-Ter-APT-309-San-Francisco-CA-94132/67394355_zpid/
