street_address,city,state,zipCode,latitude,longitude,beds,sold_price,sold_date,property_link
380 E 11th Ave #B-427,Anchorage,AK,99501,61.211372,-149.87787,2.0,,Sold 02/21/2023,https://www.zillow.com/homedetails/380-E-11th-Ave-B-427-Anchorage-AK-99501/3483_zpid/
2612 Sorbus Cir,Anchorage,AK,99508,61.19681,-149.84346,3.0,,Sold 02/21/2023,https://www.zillow.com/homedetails/2612-Sorbus-Cir-Anchorage-AK-99508/5020_zpid/
3750 Image Dr,Anchorage,AK,99504,61.18657,-149.77205,2.0,,Sold 02/21/2023,https://www.zillow.com/homedetails/3750-Image-Dr-Anchorage-AK-99504/17579_zpid/
2807 Turnagain St,Anchorage,AK,99517,61.19464,-149.93523,4.0,,Sold 02/21/2023,https://www.zillow.com/homedetails/2807-Turnagain-St-Anchorage-AK-99517/23721_zpid/
7061 Chad St,Anchorage,AK,99518,61.156483,-149.9042,3.0,,Sold 02/21/2023,https://www.zillow.com/homedetails/7061-Chad-St-Anchorage-AK-99518/30847_zpid/
9112 Vernon St,Anchorage,AK,99515,61.137825,-149.88965,3.0,,Sold 02/21/2023,https://www.zillow.com/homedetails/9112-Vernon-St-Anchorage-AK-99515/34526_zpid/
19025 Danny Dr,Eagle River,AK,99577,61.302406,-149.52756,4.0,,Sold 02/21/2023,https://www.zillow.com/homedetails/19025-Danny-Dr-Eagle-River-AK-99577/35724769_zpid/
853 Blanket Blvd,North Pole,AK,99705,64.7466,-147.3343,4.0,,Sold 02/21/2023,https://www.zillow.com/homedetails/853-Blanket-Blvd-North-Pole-AK-99705/74481762_zpid/
11301 Tulin Park Loop,Anchorage,AK,99516,61.11678,-149.83022,4.0,,Sold 02/21/2023,https://www.zillow.com/homedetails/11301-Tulin-Park-Loop-Anchorage-AK-99516/82587201_zpid/
5560 Grand Teton Loop,Anchorage,AK,99502,61.146942,-149.98831,3.0,,Sold 02/21/2023,https://www.zillow.com/homedetails/5560-Grand-Teton-Loop-Anchorage-AK-99502/119401802_zpid/
34265 Needles Ave,Soldotna,AK,99669,60.489574,-150.77368,1.0,,Sold 02/21/2023,https://www.zillow.com/homedetails/34265-Needles-Ave-Soldotna-AK-99669/338281052_zpid/
