street_address,city,state,zipCode,latitude,longitude,beds,sold_price,sold_date,property_link
9308 Pine Grove St,Shreveport,LA,71118,32.39757,-93.775856,3.0,,Sold 02/21/2023,https://www.zillow.com/homedetails/9308-Pine-Grove-St-Shreveport-LA-71118/51328613_zpid/
843 Martha Ln,Shreveport,LA,71104,32.48595,-93.71593,2.0,,Sold 02/21/2023,https://www.zillow.com/homedetails/843-Martha-Ln-Shreveport-LA-71104/51337790_zpid/
6165 Buncombe Rd,Shreveport,LA,71129,32.42884,-93.86494,3.0,,Sold 02/21/2023,https://www.zillow.com/homedetails/6165-Buncombe-Rd-Shreveport-LA-71129/51378647_zpid/
8361 Oakley Dr,Zachary,LA,70791,30.68263,-91.18039,4.0,,Sold 02/21/2023,https://www.zillow.com/homedetails/8361-Oakley-Dr-Zachary-LA-70791/66387206_zpid/
511 Cloverleaf Blvd,Alexandria,LA,71303,31.29933,-92.51352,3.0,,Sold 02/21/2023,https://www.zillow.com/homedetails/511-Cloverleaf-Blvd-Alexandria-LA-71303/77700789_zpid/
4729 Handley Loop W,Pineville,LA,71360,31.383274,-92.44099,4.0,,Sold 02/21/2023,https://www.zillow.com/homedetails/4729-Handley-Loop-W-Pineville-LA-71360/77708608_zpid/
1218 9th St,Lake Charles,LA,70601,30.216272,-93.20328,4.0,,Sold 02/21/2023,https://www.zillow.com/homedetails/1218-9th-St-Lake-Charles-LA-70601/81674914_zpid/
715 Lake Rd,Stonewall,LA,71078,32.31553,-93.75077,,,Sold 02/21/2023,https://www.zillow.com/homedetails/715-Lake-Rd-Stonewall-LA-71078/106036098_zpid/
808 Eagle Nest,Haughton,LA,71037,32.5622,-93.620674,3.0,,Sold 02/21/2023,https://www.zillow.com/homedetails/808-Eagle-Nest-Haughton-LA-71037/109793451_zpid/
1441 Brad St,Benton,LA,71006,32.671856,-93.70042,4.0,,Sold 02/21/2023,https://www.zillow.com/homedetails/1441-Brad-St-Benton-LA-71006/109807111_zpid/
222 Haney St,Patterson,LA,70392,29.71069,-91.31176,4.0,,Sold 02/21/2023,https://www.zillow.com/homedetails/222-Haney-St-Patterson-LA-70392/115208074_zpid/
213 Jasmine Walk,Bossier City,LA,71111,32.587933,-93.72239,3.0,,Sold 02/21/2023,https://www.zillow.com/homedetails/213-Jasmine-Walk-Bossier-City-LA-71111/208129362_zpid/
1114 Lacoy Rd,Pineville,LA,71360,31.359018,-92.447495,3.0,,Sold 02/21/2023,https://www.zillow.com/homedetails/1114-Lacoy-Rd-Pineville-LA-71360/209913724_zpid/
28428 Middlebrook Way,Denham Springs,LA,70726,,,3.0,,Sold 02/21/2023,https://www.zillow.com/homedetails/28428-Middlebrook-Way-Denham-Springs-LA-70726/2060777545_zpid/
28469 Middlebrook Way,Denham Springs,LA,70726,,,4.0,,Sold 02/21/2023,https://www.zillow.com/homedetails/28469-Middlebrook-Way-Denham-Springs-LA-70726/2060788437_zpid/
0 Ida Rodessa Rd,Ida,LA,71044,,,,,Sold 02/21/2023,https://www.zillow.com/homedetails/0-Ida-Rodessa-Rd-Ida-LA-71044/2061188853_zpid/
107 Rose Of Sharon Ln,Lafayette,LA,70508,30.11705,-92.075356,4.0,,Sold 02/21/2023,https://www.zillow.com/homedetails/107-Rose-Of-Sharon-Ln-Lafayette-LA-70508/2063180124_zpid/
9336 Pine Grove St,Shreveport,LA,71118,32.395657,-93.77589,3.0,,Sold 02/20/2023,https://www.zillow.com/homedetails/9336-Pine-Grove-St-Shreveport-LA-71118/51328620_zpid/
3323 Seminole Dr,Shreveport,LA,71107,32.5216,-93.830536,3.0,,Sold 02/20/2023,https://www.zillow.com/homedetails/3323-Seminole-Dr-Shreveport-LA-71107/51385822_zpid/
4021 Delaware Ave,Kenner,LA,70065,30.029255,-90.24072,4.0,,Sold 02/20/2023,https://www.zillow.com/homedetails/4021-Delaware-Ave-Kenner-LA-70065/73758780_zpid/
541 S David St,Church Pt,LA,70525,30.398996,-92.21381,3.0,,Sold 02/20/2023,https://www.zillow.com/homedetails/541-S-David-St-Church-Pt-LA-70525/105979372_zpid/
107 S Saint Joseph Ave,Morse,LA,70559,30.124542,-92.500694,3.0,,Sold 02/20/2023,https://www.zillow.com/homedetails/107-S-Saint-Joseph-Ave-Morse-LA-70559/105983569_zpid/
2140 Saint Mary St,Thibodaux,LA,70301,29.817623,-90.88806,3.0,,Sold 02/20/2023,https://www.zillow.com/homedetails/2140-Saint-Mary-St-Thibodaux-LA-70301/119482148_zpid/
114 Rio Ridge Dr,Lafayette,LA,70508,30.128588,-92.04773,4.0,,Sold 02/20/2023,https://www.zillow.com/homedetails/114-Rio-Ridge-Dr-Lafayette-LA-70508/145623973_zpid/
1006 Creek Breeze Ave LOT 45,Baton Rouge,LA,70820,,,3.0,,Sold 02/20/2023,https://www.zillow.com/homedetails/1006-Creek-Breeze-Ave-LOT-45-Baton-Rouge-LA-70820/2060637658_zpid/
32124 Russell Trl,Denham Springs,LA,70726,30.532845,-90.95883,4.0,,Sold 02/20/2023,https://www.zillow.com/homedetails/32124-Russell-Trl-Denham-Springs-LA-70726/2060898862_zpid/
2109 Orleans Dr,Lake Charles,LA,70611,,,3.0,,Sold 02/20/2023,https://www.zillow.com/homedetails/2109-Orleans-Dr-Lake-Charles-LA-70611/2061821600_zpid/
7861 Joe Lynn Trl,Denham Springs,LA,70726,30.532967,-90.95887,4.0,,Sold 02/20/2023,https://www.zillow.com/homedetails/7861-Joe-Lynn-Trl-Denham-Springs-LA-70726/2062487603_zpid/
106 Queens Way,Thibodaux,LA,70301,,,3.0,,Sold 02/20/2023,https://www.zillow.com/homedetails/106-Queens-Way-Thibodaux-LA-70301/2086137516_zpid/
1008 Francais Dr,Shreveport,LA,71118,32.394424,-93.78442,4.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/1008-Francais-Dr-Shreveport-LA-71118/51327427_zpid/
1051 Chipper Ln,Keithville,LA,71047,32.351654,-93.78039,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/1051-Chipper-Ln-Keithville-LA-71047/51330316_zpid/
123 E Ratcliff St,Shreveport,LA,71104,32.474236,-93.73196,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/123-E-Ratcliff-St-Shreveport-LA-71104/51337439_zpid/
819 E Washington St,Shreveport,LA,71104,32.48477,-93.71625,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/819-E-Washington-St-Shreveport-LA-71104/51337735_zpid/
408 Albany Ave,Shreveport,LA,71105,32.46725,-93.72956,2.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/408-Albany-Ave-Shreveport-LA-71105/51341220_zpid/
718 Erie St,Shreveport,LA,71106,32.460854,-93.744316,2.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/718-Erie-St-Shreveport-LA-71106/51343148_zpid/
3854 Michigan Blvd,Shreveport,LA,71109,32.495953,-93.802605,1.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/3854-Michigan-Blvd-Shreveport-LA-71109/51354050_zpid/
932 Greer Rd,Shreveport,LA,71107,32.588905,-93.83997,2.0,$110000.0,Sold 02/17/2023,https://www.zillow.com/homedetails/932-Greer-Rd-Shreveport-LA-71107/51390895_zpid/
7999 Tealglen Dr,Mooringsport,LA,71060,32.694595,-93.93037,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/7999-Tealglen-Dr-Mooringsport-LA-71060/51393645_zpid/
13633 Mail Box Rd,Vivian,LA,71082,32.838127,-93.92643,4.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/13633-Mail-Box-Rd-Vivian-LA-71082/51394764_zpid/
821 Rosebud Ln,Shreveport,LA,71115,32.406948,-93.70266,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/821-Rosebud-Ln-Shreveport-LA-71115/60557054_zpid/
9522 Overwood Dr,Greenwell Springs,LA,70739,30.534191,-91.017075,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/9522-Overwood-Dr-Greenwell-Springs-LA-70739/66229116_zpid/
5147 Sleepy Hollow Dr,Baton Rouge,LA,70817,30.406557,-91.011444,2.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/5147-Sleepy-Hollow-Dr-Baton-Rouge-LA-70817/66229878_zpid/
1516 Magnolia Ridge Dr,Baton Rouge,LA,70816,30.446058,-91.02638,2.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/1516-Magnolia-Ridge-Dr-Baton-Rouge-LA-70816/66235290_zpid/
1305 Stuart Ave,Baton Rouge,LA,70808,30.408682,-91.15308,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/1305-Stuart-Ave-Baton-Rouge-LA-70808/66267942_zpid/
222 Emerald Rd,Baton Rouge,LA,70810,30.367037,-91.11324,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/222-Emerald-Rd-Baton-Rouge-LA-70810/66272848_zpid/
1338 Aberdeen Ave,Baton Rouge,LA,70808,30.409266,-91.15329,4.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/1338-Aberdeen-Ave-Baton-Rouge-LA-70808/66281844_zpid/
6066 Jefferson Hwy,Baton Rouge,LA,70806,30.438854,-91.127686,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/6066-Jefferson-Hwy-Baton-Rouge-LA-70806/66293724_zpid/
968 Woodhaven St,Baton Rouge,LA,70815,30.44531,-91.07492,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/968-Woodhaven-St-Baton-Rouge-LA-70815/66301169_zpid/
2236 Davenport Ave,Baton Rouge,LA,70807,30.557348,-91.16983,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/2236-Davenport-Ave-Baton-Rouge-LA-70807/66331087_zpid/
