street_address,city,state,zipCode,latitude,longitude,beds,sold_price,sold_date,property_link
3394 Wayne Avenue UNIT E62,Bronx,NY,10467,40.879272,-73.87765,1.0,$145000.0,Sold 02/21/2023,https://www.zillow.com/homedetails/3394-Wayne-Ave-APT-E62-Bronx-NY-10467/215951251_zpid/
223-27 114 Avenue,Jamaica,NY,11411,40.70195,-73.73326,3.0,$693000.0,Sold 02/20/2023,https://www.zillow.com/homedetails/22327-114th-Ave-Jamaica-NY-11411/32164190_zpid/
61-35 98 Street UNIT 7C,Rego Park,NY,11374,40.734436,-73.85904,1.0,$287000.0,Sold 02/20/2023,https://www.zillow.com/homedetails/61-35-98th-St-7C-Rego-Park-NY-11374/219849476_zpid/
1800 Ocean Pkwy APT A15,Brooklyn,NY,11223,40.60507,-73.967445,1.0,$180000.0,Sold 02/20/2023,https://www.zillow.com/homedetails/1800-Ocean-Pkwy-APT-A15-Brooklyn-NY-11223/244988503_zpid/
61-15 98 Street UNIT 3G,Queens,NY,11374,40.734467,-73.86013,1.0,$245000.0,Sold 02/20/2023,https://www.zillow.com/homedetails/61-15-98th-St-3G-Queens-NY-11374/338506576_zpid/
181-20 Midland Parkway,Jamaica,NY,11432,,,5.0,$1700000.0,Sold 02/20/2023,https://www.zillow.com/homedetails/181-20-Midland-Pkwy-Jamaica-NY-11432/2060685264_zpid/
65-01 110th Street,Forest Hills,NY,11375,40.73225,-73.84634,3.0,$1294000.0,Sold 02/20/2023,https://www.zillow.com/homedetails/65-01-110th-St-Forest-Hills-NY-11375/2078219498_zpid/
601 Kappock Street UNIT 2/H,Bronx,NY,10463,40.879013,-73.91611,3.0,$490000.0,Sold 02/18/2023,https://www.zillow.com/homedetails/601-Kappock-St-Bronx-NY-10463/29851559_zpid/
304 E 65th St APT 35C,New York,NY,10065,40.763977,-73.96146,2.0,$1650000.0,Sold 02/18/2023,https://www.zillow.com/homedetails/304-E-65th-St-APT-35C-New-York-NY-10065/31538070_zpid/
916 Home St,Bronx,NY,10459,40.828217,-73.89361,,$650000.0,Sold 02/17/2023,https://www.zillow.com/homedetails/916-Home-St-Bronx-NY-10459/29780579_zpid/
1023 Faile St #1023A,Bronx,NY,10459,40.82376,-73.88984,,$275000.0,Sold 02/17/2023,https://www.zillow.com/homedetails/1023-Faile-St-1023A-Bronx-NY-10459/29780950_zpid/
460 E 182nd St,Bronx,NY,10457,40.8542,-73.89453,9.0,$10.0,Sold 02/17/2023,https://www.zillow.com/homedetails/460-E-182nd-St-Bronx-NY-10457/29784206_zpid/
3137 Hull Ave,Bronx,NY,10467,40.873196,-73.8776,,$369000.0,Sold 02/17/2023,https://www.zillow.com/homedetails/3137-Hull-Ave-Bronx-NY-10467/29788706_zpid/
904 Neill Ave,Bronx,NY,10462,40.850643,-73.86176,,$800000.0,Sold 02/17/2023,https://www.zillow.com/homedetails/904-Neill-Ave-Bronx-NY-10462/29817454_zpid/
