street_address,city,state,zipCode,latitude,longitude,beds,sold_price,sold_date,property_link
601 Van Ness Ave APT 729,San Francisco,CA,94102,37.78168,-122.42091,1,$515000.0,Sold 02/17/2023,https://www.zillow.com/homedetails/601-Van-Ness-Ave-APT-729-San-Francisco-CA-94102/15077790_zpid/
888 7th St UNIT 208,San Francisco,CA,94107,37.77038,-122.40106,1,$416973.0,Sold 02/17/2023,https://www.zillow.com/homedetails/888-7th-St-UNIT-208-San-Francisco-CA-94107/89238460_zpid/
100 Duboce Ave #502,San Francisco,CA,94103,,,1,$718181.0,Sold 02/17/2023,https://www.zillow.com/homedetails/100-Duboce-Ave-502-San-Francisco-CA-94103/2059923851_zpid/
226 2nd Ave #3,San Francisco,CA,94118,,,1,$749000.0,Sold 02/17/2023,https://www.zillow.com/homedetails/226-2nd-Ave-3-San-Francisco-CA-94118/2060405319_zpid/
135 Valencia St APT A307,San Francisco,CA,94103,37.771152,-122.42206,2,$715000.0,Sold 02/17/2023,https://www.zillow.com/homedetails/135-Valencia-St-APT-A307-San-Francisco-CA-94103/2069854052_zpid/
343 Paul Ave,San Francisco,CA,94124,37.72303,-122.39914,2,$725000.0,Sold 02/15/2023,https://www.zillow.com/homedetails/343-Paul-Ave-San-Francisco-CA-94124/15159514_zpid/
99 Rausch St UNIT 221,San Francisco,CA,94103,37.77637,-122.409164,1,$353498.0,Sold 02/15/2023,https://www.zillow.com/homedetails/99-Rausch-St-UNIT-221-San-Francisco-CA-94103/325647718_zpid/
1219 Gilman Ave,San Francisco,CA,94124,37.72038,-122.392456,3,$650000.0,Sold 02/14/2023,https://www.zillow.com/homedetails/1219-Gilman-Ave-San-Francisco-CA-94124/15154584_zpid/
5175 Diamond Heights Blvd APT 208,San Francisco,CA,94131,37.746204,-122.439926,2,$865000.0,Sold 02/13/2023,https://www.zillow.com/homedetails/5175-Diamond-Heights-Blvd-APT-208-San-Francisco-CA-94131/15199438_zpid/
301 Crescent Ct APT 3417,San Francisco,CA,94134,37.711178,-122.38807,1,$550000.0,Sold 02/13/2023,https://www.zillow.com/homedetails/301-Crescent-Ct-APT-3417-San-Francisco-CA-94134/79845509_zpid/
1220 La Playa St APT 303,San Francisco,CA,94122,37.763504,-122.50903,1,$329338.0,Sold 02/10/2023,https://www.zillow.com/homedetails/1220-La-Playa-St-APT-303-San-Francisco-CA-94122/15100792_zpid/
1050 N Point St APT 508,San Francisco,CA,94109,37.805428,-122.42481,1,$760000.0,Sold 02/10/2023,https://www.zillow.com/homedetails/1050-N-Point-St-APT-508-San-Francisco-CA-94109/63196473_zpid/
8200 Oceanview Ter APT 324,San Francisco,CA,94132,37.71016,-122.46747,2,$680000.0,Sold 02/10/2023,https://www.zillow.com/homedetails/8200-Oceanview-Ter-APT-324-San-Francisco-CA-94132/67090309_zpid/
630 Mason St APT 802,San Francisco,CA,94108,37.789448,-122.41006,1,$730000.0,Sold 02/10/2023,https://www.zillow.com/homedetails/630-Mason-St-APT-802-San-Francisco-CA-94108/80755580_zpid/
888 7th St UNIT 235,San Francisco,CA,94107,37.77038,-122.40106,1,$391048.0,Sold 02/10/2023,https://www.zillow.com/homedetails/888-7th-St-UNIT-235-San-Francisco-CA-94107/89239478_zpid/
869 Vermont St,San Francisco,CA,94107,37.75868,-122.40361,1,$43000.0,Sold 02/09/2023,https://www.zillow.com/homedetails/869-Vermont-St-San-Francisco-CA-94107/15150333_zpid/
41 Mount Vernon Ave,San Francisco,CA,94112,37.715122,-122.44369,2,$700000.0,Sold 02/09/2023,https://www.zillow.com/homedetails/41-Mount-Vernon-Ave-San-Francisco-CA-94112/15191698_zpid/
1255 Oak St APT 3,San Francisco,CA,94117,37.772533,-122.43987,1,$740000.0,Sold 02/09/2023,https://www.zillow.com/homedetails/1255-Oak-St-APT-3-San-Francisco-CA-94117/2132955415_zpid/
2225 23rd St UNIT 313,San Francisco,CA,94107,37.754463,-122.402245,2,$660000.0,Sold 02/08/2023,https://www.zillow.com/homedetails/2225-23rd-St-UNIT-313-San-Francisco-CA-94107/15152077_zpid/
275 Burnett Ave APT 2,San Francisco,CA,94131,37.756752,-122.44575,1,$672500.0,Sold 02/07/2023,https://www.zillow.com/homedetails/275-Burnett-Ave-APT-2-San-Francisco-CA-94131/15130028_zpid/
